audio_name,trend_level,points,genre,recommended_for
Sigma Beat,viral,20,Phonk,Gaming
Future Bass Drop,viral,20,EDM,Dance
Dreamcore Loop,viral,20,Ambient,Lifestyle
Speed Up Night,viral,20,Electronic,Sports
Hyper Pop Mix,viral,20,Pop,Dance
Summer Anthem,trending,15,Pop,Travel
Lofi Study,trending,15,Lo-fi,Education
Soft Piano,trending,15,Classical,Education
Happy Pop,trending,15,Pop,Lifestyle
Night Drive,trending,15,Synthwave,Automotive
Chill Guitar,trending,15,Acoustic,Travel
Acoustic Morning,average,10,Acoustic,Lifestyle
Epic Cinematic,average,10,Soundtrack,Technology
Jazz Mood,average,10,Jazz,Food
Relax Beats,average,10,Lo-fi,Productivity
Nature Sounds,low,5,Ambient,Travel
Rain Ambience,low,5,Nature,Meditation
Ocean Waves,low,5,Nature,Travel
Old Remix,low,5,Pop,General
Vintage Piano,low,5,Classical,Education